CustomerID,FirstName,Lastname,Address01,Address02,City,State,ZipCode
45041249,John,Doe45041249,9606 Tree St,,TOOELE,UT   ,84074
44965893,John,Doe44965893,NULL,,South Amboy,NJ   ,8879
3568475,John,Doe3568475,1129 Tree St,,Torrance,CA,90503
8472987,John,Doe8472987,9533 Tree St,,Mason,MI,48854
22409329,John,Doe22409329,5602 Tree St,,PITTSBURGH,PA   ,15237
27000942,John,Doe27000942,3225 Tree St,,Murrells Inlet,SC,1521
21215872,John,Doe21215872,NULL,,ALBUQUERQUE,NM   ,87114
38121061,John,Doe38121061,5493 Tree St,,Kennedale,TX,76060
48659043,John,Doe48659043,NULL,,YORK,PA,17403
4850969,John,Doe4850969,1377 Tree St,,Colorado Spgs,CO,80918
47629239,John,Doe47629239,6815 Tree St,,Roundup,MT,59072
1816198,John,Doe1816198,9029 Tree St,,Bradenton,FL,34202
36447706,John,Doe36447706,NULL,,Kennesaw,GA   ,30152
37778494,John,Doe37778494,3707 Tree St,,Sioux Falls,SD,57106
1626877,John,Doe1626877,0209 Tree St,,Watsonville,CA,95076
22802246,John,Doe22802246,6895 Tree St,,CORYDON,IN   ,47112
31278845,John,Doe31278845,1102 Tree St,,Mansfield,OH   ,44902
9959770,John,Doe9959770,3947 Tree St,,Okatie,SC,29909
31005495,John,Doe31005495,2703 Tree St,,Hendersonvlle,TN,37075
43076015,John,Doe43076015,6632 Tree St,,Lee,NH,3861
32400600,John,Doe32400600,4827 Tree St,,MARION,OH   ,43302
8500738,John,Doe8500738,6226 Tree St,,Wdm,IA,50265
34135526,John,Doe34135526,NULL,,VERONA,WI,53593
17982548,John,Doe17982548,6326 Tree St,,OXFORD,MI   ,48371
5643664,John,Doe5643664,1469 Tree St,,Chelsea,MI,48118
53823014,John,Doe53823014,NULL,,Goldthwaite,TX,76844
17960217,John,Doe17960217,1219 Tree St,,Ludlow,MA,1056
48258618,John,Doe48258618,2519 Tree St,,Las Vegas,NV,89131
3894365,John,Doe3894365,8242 Tree St,,Marion,OH,43302
41803768,John,Doe41803768,0213 Tree St,,BOONVILLE,MO,65233
31516366,John,Doe31516366,NULL,,WALNUT CREEK,CA   ,94598
35228281,John,Doe35228281,4599 Tree St,,LAWRENCEVILLE,GA   ,30043
34583698,John,Doe34583698,2030 Tree St,,San Antonio,TX   ,78232
38111023,John,Doe38111023,9436 Tree St,,Hubbard,OR,97032
46705914,John,Doe46705914,2671 Tree St,,Caldwell,ID,83605
35368810,John,Doe35368810,3208 Tree St,,Nauvoo,AL   ,35578
28820354,John,Doe28820354,NULL,,Lexington,SC   ,29072
29584679,John,Doe29584679,NULL,,Delavan,WI   ,53115
38427417,John,Doe38427417,NULL,,Santa Rosa Beach,FL   ,32459
52330855,John,Doe52330855,9231 Tree St,,Bradenton,FL,34202
42489561,John,Doe42489561,5207 Tree St,,Dripping Springs,TX   ,78620
9664934,John,Doe9664934,0243 Tree St,,HURDLE MILLS,NC,27541
7465171,John,Doe7465171,4051 Tree St,,Swedesboro,NJ,8085
26621800,John,Doe26621800,5844 Tree St,,Manhattan,KS,66502
4251440,John,Doe4251440,7296 Tree St,,EASTVALE,CA   ,92880
40439130,John,Doe40439130,NULL,,Exton,PA   ,81119
53118343,John,Doe53118343,NULL,,NEWTON FALLS,OH,44444
35545908,John,Doe35545908,NULL,,Baltimore,MD   ,21230
46367773,John,Doe46367773,7937 Tree St,,Weatherford,TX,76087
49769757,John,Doe49769757,NULL,,EAST BRUNSWICK,NJ,8816
16681768,John,Doe16681768,2863 Tree St,,Temecula,CA,92592
2935159,John,Doe2935159,2315 Tree St,,Winchester,KY,40391
46357996,John,Doe46357996,NULL,,KILLEEN,TX,76543
20981742,John,Doe20981742,9601 Tree St,,STOUTSVILLE,OH   ,43154
19622973,John,Doe19622973,3426 Tree St,,Magna,UT,84044
13154155,John,Doe13154155,1329 Tree St,,Grosse Ile,MI,48138
17337999,John,Doe17337999,1727 Tree St,,PEORIA,IL   ,61614
51983344,John,Doe51983344,1116 Tree St,,Fort Collins,CO,80526
31997583,John,Doe31997583,1071 Tree St,,Pittsford,NY,14534
2107437,John,Doe2107437,9700 Tree St,,Cumming,GA,30041
2527918,John,Doe2527918,3895 Tree St,,Las Vegas,NV,89141
108394,John,Doe108394,1110 Tree St,,BERWYN,PA   ,19312
2898248,John,Doe2898248,3868 Tree St,,Omaha,NE,68134
22598698,John,Doe22598698,9337 Tree St,,DALTON,GA   ,30721
10167533,John,Doe10167533,2822 Tree St,,BLACKWOOD,NJ   ,8012
4493806,John,Doe4493806,0701 Tree St,,Phoenix,AZ,85045
28342124,John,Doe28342124,1695 Tree St,,Fulshear,TX   ,77441
7293616,John,Doe7293616,6625 Tree St,,Wasilla,AK,99654
50162972,John,Doe50162972,5155 Tree St,,Waddy,KY,40076
49353001,John,Doe49353001,6439 Tree St,,Kent,OH,44240
43450004,John,Doe43450004,8592 Tree St,,Lexington,SC   ,29072
46200957,John,Doe46200957,9445 Tree St,,Millersburg,OH,44654
47807314,John,Doe47807314,1551 Tree St,,Cumberland College,KY,40769
27944915,John,Doe27944915,2303 Tree St,,Winston Salem,NC   ,27101
8750419,John,Doe8750419,7982 Tree St,,Lancaster,OH   ,43130
28775735,John,Doe28775735,7612 Tree St,,Denver,CO   ,80249
7913367,John,Doe7913367,3959 Tree St,,Riverside,CA,92509
20299233,John,Doe20299233,0550 Tree St,,Las Vegas,NV,89118
21034978,John,Doe21034978,6229 Tree St,,ONEIDA,KY   ,40972
21118463,John,Doe21118463,NULL,,Streetsboro,OH   ,44241
41673363,John,Doe41673363,8872 Tree St,,BISMARCK,ND   ,58503
11072986,John,Doe11072986,9535 Tree St,,Noblesville,IN,46060
21460003,John,Doe21460003,NULL,,Brookhaven,PA   ,19015
39536169,John,Doe39536169,5010 Tree St,,North Charleston,SC   ,29418
4842404,John,Doe4842404,5337 Tree St,,LOVELAND,CO   ,80537
39928667,John,Doe39928667,4916 Tree St,,Des Moines,IA   ,50310
2593370,John,Doe2593370,NULL,,TUALATIN,OR,97062
32157367,John,Doe32157367,5747 Tree St,,Greensboro,NC,27410
7602079,John,Doe7602079,9053 Tree St,,Westfield,IN,46074
17772628,John,Doe17772628,5375 Tree St,,Seattle,WA,98122
8517163,John,Doe8517163,1322 Tree St,,Kingsville,MD,21087
49526464,John,Doe49526464,2957 Tree St,,North Little Rock,AR,72118
42257067,John,Doe42257067,7898 Tree St,,Fairfield Township,OH,45011
17837921,John,Doe17837921,9170 Tree St,,Columbia City,IN   ,46725
41540803,John,Doe41540803,4895 Tree St,,Adelanto,CA   ,92301
18757525,John,Doe18757525,NULL,,NASHUA,NH   ,3062
546083,John,Doe546083,3316 Tree St,,Salinas,CA,93901
14168590,John,Doe14168590,NULL,,Gilbert,MN,55741
27350064,John,Doe27350064,2546 Tree St,,SHOREWOOD,IL   ,60404
35171405,John,Doe35171405,2132 Tree St,,DAYTON,OH   ,45403
36532085,John,Doe36532085,3552 Tree St,,Sterling,VA   ,20165
45724941,John,Doe45724941,3665 Tree St,,Marietta,GA,30008
44738075,John,Doe44738075,4136 Tree St,,CEDAR PARK,TX   ,78613
9152222,John,Doe9152222,6170 Tree St,,Santa Fe,NM,87501
39033307,John,Doe39033307,8749 Tree St,,GRAND PRAIRIE,TX   ,75050
5583160,John,Doe5583160,NULL,,COLUMBUS,OH,43230
3597152,John,Doe3597152,3226 Tree St,,Woodstock,GA,30188
34160322,John,Doe34160322,9525 Tree St,,Rock Hill,SC   ,29730
1019675,John,Doe1019675,4605 Tree St,,Evans,GA,30809
50092791,John,Doe50092791,9736 Tree St,,Shawboro,NC,27973
38278443,John,Doe38278443,NULL,,Budd Lake,NJ   ,7828
38924574,John,Doe38924574,2787 Tree St,,Greensboro,NC   ,27405
45246308,John,Doe45246308,NULL,,Trinidad,CO,0
33406445,John,Doe33406445,4478 Tree St,,New Ulm,MN   ,56073
2442145,John,Doe2442145,2121 Tree St,,Catalina,AZ,85739
50507994,John,Doe50507994,NULL,,ANCHORAGE,AK,99515
39655151,John,Doe39655151,4282 Tree St,,Tustin,CA   ,92780
21110112,John,Doe21110112,2077 Tree St,,Omaha,NE,68136
34757465,John,Doe34757465,NULL,,MASON,OH   ,45040
18930354,John,Doe18930354,0052 Tree St,,OOSTBURG,WI,53070
31850438,John,Doe31850438,3829 Tree St,,Sioux Falls,SD   ,57104
47593942,John,Doe47593942,1811 Tree St,,Duarte,CA,91010
4411399,John,Doe4411399,9266 Tree St,,Indianapolis,IN,46237
31225583,John,Doe31225583,8007 Tree St,,Saint George,UT   ,84790
8948751,John,Doe8948751,1767 Tree St,,FOSTER CITY,CA   ,94404
22679841,John,Doe22679841,1117 Tree St,,Pennington Gap,VA,24277
31598611,John,Doe31598611,5727 Tree St,,Arlington,TX   ,76012
7885575,John,Doe7885575,1218 Tree St,,Bonne Terre,MO,63628
44856060,John,Doe44856060,2874 Tree St,,WARBA,MN,55793
2773502,John,Doe2773502,3142 Tree St,,AVON,OH   ,44011
13651660,John,Doe13651660,2247 Tree St,,Nokomis,FL,34275
22671244,John,Doe22671244,9101 Tree St,,Greenbrier,AR,72058
12525108,John,Doe12525108,4615 Tree St,,WICHITA,KS   ,67214
7878156,John,Doe7878156,3064 Tree St,,Effingham,IL,62401
40873892,John,Doe40873892,1915 Tree St,,Wilmette,IL   ,60091
44261319,John,Doe44261319,3632 Tree St,,Defiance,OH   ,43512
9250206,John,Doe9250206,9489 Tree St,,Rockford,MN,55373
36152961,John,Doe36152961,9076 Tree St,,Crestview,FL,32539
36448083,John,Doe36448083,7913 Tree St,,Bountiful,UT   ,84010
19949866,John,Doe19949866,2722 Tree St,,Bozeman,MT,59715
33391508,John,Doe33391508,2925 Tree St,,LAYTON,UT   ,84040
39627775,John,Doe39627775,NULL,,COUNTRYSIDE,IL,60525
22908481,John,Doe22908481,4415 Tree St,,LEES SUMMIT,MO   ,64082
16136662,John,Doe16136662,5112 Tree St,,Saint George,UT,84790
28695398,John,Doe28695398,4720 Tree St,,ALLEN,TX   ,75013
4024531,John,Doe4024531,2648 Tree St,,Charlotte,NC,28207
32253306,John,Doe32253306,2908 Tree St,,Sacramento,CA,95831
10736432,John,Doe10736432,3120 Tree St,,West Fargo,ND,58078
29664846,John,Doe29664846,3706 Tree St,,FLINT,TX   ,75762
15909870,John,Doe15909870,5244 Tree St,,WDM,IA   ,50266
2738124,John,Doe2738124,NULL,,Ballwin,MO,63021
46924017,John,Doe46924017,3296 Tree St,,Indianapolis,IN,46202
49450331,John,Doe49450331,1663 Tree St,,Ocoee,FL,34761
